campus_id,road_id,current_load,congestion_level,status,observation_timestamp,ingestion_timestamp,source,provenance
vitap,vitap-road-gate-to-lot,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
vitap,vitap-road-lot-to-1255690439,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
vitap,vitap-road-lot-to-1321555307,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
vitap,vitap-road-lot-to-1434460208,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
vitap,vitap-road-lot-to-1434460210,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
vitap,vitap-road-lot-to-1434460214,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
vitap,vitap-road-lot-to-1434890457,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
vitap,vitap-road-lot-to-1434908865,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
vitap,vitap-road-lot-to-1485919486,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
vitap,vitap-road-lot-to-1485935404,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
vitap,vitap-road-lot-to-1485935405,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
vitap,vitap-road-lot-to-750542242,0,free,open,2026-09-21T18:12:43.430876+00:00,2026-09-21T18:12:43.431961+00:00,simulation,SYNTHETIC
